;GS.#;;H.#;L0.#;L1.#;L2.#;L3.#;L4.#;L5.#;Q0.#;Q1.#;Q2.#;M0.#;M1.#;M2.#;G0.#;G1.#;G2.#
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;GS.1.1;Employee Auth Info Masking;H.1.1;;;;;;;;;;;;;;;
;GS.1.2;Dealer Auth Info Masking;H.1.2;;;;;;;;;;;;;;;
;GS.1.3;Secure User Management Feedback;;;;;L3.1.4;;;;;;;;;;;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;GS.2.1;Employee Abnormal Behavior Response;H.2.1;;;;;;;;;;;;;;;
;GS.2.2;Dealer Abnormal Behavior Response;H.2.2;;;;;;;;;;;;;;;
;GS.2.3;Security Event Logging;;L0.2.3;;;;;;;;;;;;;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;GS.3.1;Logical Access Control - Data Isolation;H.3.1;;;;;;;;;;;;;;;
;GS.3.2;Physical Access Control;H.3.2;;;;;;;;;;;;;;;
;GS.3.3;Local Access Control;H.3.3;;;;;;;;;;;;;;;
;GS.3.4;Frontend Access Control;H.3.4;;;;;;;;;;;;;;;
;GS.3.5;Actuator Access Control;H.3.5;;;;;;;;;;;;;;;
;GS.3.6;IoT Middleware Platform Isolation;;;L1.3.3;;;;;Q0.3.6;Q1.3.8;Q2.3.4;;M1.3.5;;;G1.3.3;G2.3.6
;GS.3.8;Access Control for System Administration;;;;;;;;;;;;M1.3.4;;;;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};GS.4.1;Access Control for Vehicle & Material Data;H.4.1;;;;;;;;;;;;;;;
;GS.4.2;Access Control for Requisitions Data;H.4.2;;;;;;;;;;;;;;;
;GS.4.3;Vehicle Registry Access;H.4.3;;;;;;;;;;;;;;;
;GS.4.4;Dock Manager Role for Dock Data;H.4.4;;;;;;;;;;;;;;;
;GS.4.5;Dock Manager Role for Warehouse Inventory;H.4.5;;;;;;;;;;;;;;;
;GS.4.6;Role-based Access to AIDC Carriers;H.4.6;;;;;;;;;;;;;;;
;GS.4.7;Role-based Data Access Control;H.4.7;;;;;;;;;;;;;;;
;GS.4.8;Employee User Management Function;H.4.8;;;;;;;;;;;;;;;
;GS.4.9;Role-Based Access Control for External Entities;;L0.4.3;;;;;;;;;;;;;;
;GS.4.10;System Admin Access Control;;L0.4.4;L1.4.2;;L3.4.7;L4.4.2;;;;;M0.4.3p;;;;;
;GS.4.11;Operations Manager Access Control;;L0.4.5;;;;;;;;;M0.4.3p;;;;;
;GS.4.12;Security Manager Access Control;;L0.4.6;L1.4.3;;;;;;;;M0.4.3p;;;;;
;GS.4.14;Logistics Terminal Car Registry Access Control;;;;L2.4.4;L3.4.8;;L5.4.6;;;;;;;;;
;GS.4.15;Plant_Manager_Permissions;;;;;;;;Q0.4.6;;;;;;;;
;GS.4.16;Finished_Car_Yard_Manager_Permissions;;;;;;;;Q0.4.8;;;;;;;;
;GS.4.17;Shipping_Manager_Permissions;;;;;;;;Q0.4.9;;;;;;;;
;GS.4.18;IoT Middleware Platform Access Control;;;;;;;;;;Q2.4.4;;;;;;
;GS.4.19;Role-Based Access Control Security;;;;;;;;;;;;;;G0.4.3;;
;GS.4.20;Production Plan Data Store Access Control;;;;;L3.4.4;;L5.4.3;;;;;;;;;
;GS.4.21;Factory Employee Data Access Control;;;;;L3.4.10;;;;;;;;;;;
The {organization} shall maintain a record of {all privileges allocated};GS.5.1;Employee Privileges Record;H.5.1;;;;;;;;;;;;;;;
;GS.5.2;Employee Privileges Record Maintenance;H.5.2;;;;;;;;;;;;;;;
;GS.5.3;Record of Privileges for Factory System Admins;;L0.5.2;L1.5.3;L2.5.3;L3.5.3;;;;;;;;;;;
;GS.5.4;Car Manufacturer Access Control Record [external entities];;;;L2.5.2;;;;;;;;;;;;
;GS.5.5;Record of AGV Access Privileges;;;;;L3.5.2;;;;;;M0.5.2;;;;;
;GS.5.6;Audit Trail for Access and Privilege Changes;;;;;;L4.5.1;L5.5.2;;;;;;;;G1.5.3;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;GS.6.1;Privileged Access Review;H.6.1;;;;;;;;;;;;;;;
;GS.6.2;Justification of Privileged Access Rights;;L0.6.2;;;;;;;;;;;;;;
;GS.6.3;Regular Review of Privileged Access for Logistics Terminal Employees;;;;;;;;;;;M0.6.2;;;;;
;GS.6.4;Competency Validation for Cybersecurity Roles;;;;;L3.6.8;;;;;;;;;G0.6.2;;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;GS.7.1;Internal Network Trust;H.7.1;;;;;;;;;;;;;;;
;GS.7.2;Firewall for Perimeter Network Access;H.7.2;;;;;;;;;;;;;;;
;GS.7.3;Limited Access from Perimeter Networks;H.7.3;;;;;;;;;;;;;;;
;GS.7.4;Secure IT Infrastructure Configuration;;L0.7.2;;;;;;;;;;;;;;
;GS.7.5;Filtered Network Access for IoT Middleware Platforms;;L0.7.3;;L2.7.3;L3.7.8;;L5.7.2;;;;M0.7.1;M1.7.1;M2.7.2;;;
;GS.7.6;Secure Network Access for AGVs and Robots;;L0.7.4;;;L3.7.4;;;;;;;;;;;
;GS.7.7;Secure Logistics Terminal Connections;;;L1.7.2;;;;;;;;;;;;;
;GS.7.8;Security Manager Oversight;;;L1.7.5;;;;;;;;;;;;;
;GS.7.9;Restricted IoT Device Connections;;;;;L3.7.5;;;;;;;;;;;
;GS.7.10;Secured Administration System Network Access;;;;;L3.7.6;;;;;;;;;;;
;GS.7.11;Factory Network Access Restriction;;;;;;L4.7.1;L5.7.1;;;;;;;;;
{Network administration channels} must be segregated from {other network traffic};GS.8.1;Maintenance Network Segregation;H.8.1;;;;;;;;;;;;;;;
;GS.8.2;Isolation of Network Administration from Logistics Network Traffic;;L0.8.2;;;L3.8.2;;;;;;;;;;;
;GS.8.3;Protection of Administration Channels;;;;;L3.8.4;;;;;;;;;;;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};GS.9.1;Cryptographic Safeguarding of Data Stores;H.9.1;;;;;;;;;;;;;;;
;GS.9.2;Cryptographic Safeguarding of RFID Data;H.9.2;;;;;;;;;;;;;;;
;GS.9.3;Network Data Encryption;H.9.3;;;;;;;;;;;;;;;
;GS.9.4;Secure Transmission and Storage of Production Plans;;L0.9.4;;;L3.9.12;;;;;;;;;;;
;GS.9.5;Supply Chain Interaction Security;;;;L2.9.3;;;;;;;;;;;;
;GS.9.6;EndpointDeviceDataProtection;;;;;L3.9.11;;L5.9.5;;;Q2.9.1;;;M2.9.2;G0.9.2;;
;GS.9.7;IoTMiddlewareSecurity;;;;;L3.9.7;;;;;Q2.9.5;;;;;;
;GS.9.8;External Network Communication Security;;;;;;;;;;;;;;G0.9.3;;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};GS.10.1;Key Management for AIDC Carriers;H.10.1;;;;;;;;;;;;;;;
;GS.10.2;Key Management for Employee Access;H.10.2;;;;;;;;;;;;;;;
;GS.10.3;Security Manager for Key Management;H.10.3;;;;;;;;;;;;;;;
;GS.10.4;Secure Key Management for Automated Systems;;L0.10.2;;;;;;;;;;;;;;
;GS.10.5;Key Recovery;;;;L2.10.3p;L3.10.4;;;;Q1.10.2;;;;;G0.10.2;;
;GS.10.6;Key Revocation;;;;L2.10.3p;;;;;;;M0.10.3p;;;;;
;GS.10.7;Access-Controlled Key Management;;;;L2.10.4;;;;;;;;;;;;
;GS.10.8;Key-Driven Data Recovery Protocol;;;;;;;L5.10.3;;;Q2.10.3;;;;;;
;GS.10.9;Automatic Key Rotation;;;;;;;;;;;M0.10.3p;;;;;
;GS.10.10;Key Usage Monitoring and Reporting;;;;;;;;;;;M0.10.5;;;;;
Total GS requirements;75;Total discoveries;30;13;6;8;18;3;7;4;2;5;9;3;2;5;2;1
;;Discoveries over total (%);40%;17%;8%;11%;24%;4%;9%;5%;3%;7%;12%;4%;3%;7%;3%;1%
;;;;;;;;;;;;;;;;;;
Total H + L0 requirements;43;;;;;;;;;;;;;;;;;
