#,Hall.,L0,L0_ii,L0_iii,L0_iv,L*,Q0,Q0_ii,Q0_iii,Q0_iv,Q*,M0,M0_ii,M0_iii,M0_iv,M*,G0,G0_ii,G0_iii,G0_iv,G*
GS.1.1,No,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X
GS.1.2,No,,,,,,,,,P,X,,,,,,,,,,
GS.1.3,No,,,,,,,,,,,,,,,,,,,,
GS.2.1,No,X,X,X,X,X,P,X,X,P,X,,,,,,P,X,X,P,X
GS.2.2,No,,,X,,X,,,,,,,,,,,,,,,
GS.2.3,No,X,,,,X,,,,,,,,,X,X,,,,,
L0_ii.2.1; L0_iii.2.2,Yes,,X,X,,X,,,,,,,,,,,,,,,
L0_ii.2.3,Yes,,X,,,X,,,,,,,,,,,,,,,
L0_iii.2.5; M0_ii.2.2; M0_iii.2.3,Yes,,,X,,X,,,,,,,X,X,,X,,,,,
M0.2.1; M0_ii.2.1; M0_iii.2.1,Yes,,,,,,,,,,,X,X,X,,X,,,,,
Q0_iii.2.4; M0_ii.2.4,Yes,,,,,,X,,,,X,,X,,,X,,,,,
M0.2.2; M0_ii.2.3,Yes,,,,,,,,,,,X,X,,,X,,,,,
M0.2.3,Yes,,,,,,,,,,,X,,,,X,,,,,
M0.2.4,Yes,,,,,,,,,,,X,,,,X,,,,,
M0_ii.2.5,Yes,,,,,,,,,,,,X,,,X,,,,,
M0_iii.2.2,Yes,,,,,,,,,,,,,X,,X,,,,,
M0_iii.2.4,Yes,,,,,,,,,,,,,X,,X,,,,,
G0.2.2,Yes,,,,,,,,,,,,,,,,X,,,,X
G0_iii.2.3,Yes,,,,,,,,,,,,,,,,,,X,,X
GS.3.1,No,P,P,P,P,X,P,X,X,P,X,P,,P,P,X,X,X,X,X,X
GS.3.2,No,X,X,P,P,X,,,,,,,,,,,,,,X,X
GS.3.3,No,,,,,,,,,,,,,,,,,,,,
GS.3.4,No,,X,,,X,X,X,X,P,X,,,,,,X,X,,P,X
GS.3.5,No,X,X,X,X,X,,,,,,,,,,,,,,,
GS.3.6,No,,,,,,X,,,,X,,,,,,,,X,,X
GS.3.8,No,,,,,,,,,,,,,,,,,,,,
L0.3.3; L0_ii.3.2; Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1; M0_ii.3.1; M0_iii.3.1,Yes,X,X,,,X,,X,X,X,X,,X,X,,X,,,,,
Q0.3.2,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.3.7,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.3.8,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.3.9,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0_ii.3.3,Yes,,,,,,,X,,,X,,,,,,,,,,
Q0_iii.3.4,Yes,,,,,,,,X,,X,,,,,,,,,,
Q0_iii.3.5,Yes,,,,,,,,X,,X,,,,,,,,,,
Q0_iii.3.6,Yes,,,,,,,,X,,X,,,,,,,,,,
M0.3.4,Yes,,,,,,,,,,,X,,,,X,,,,,
M0_ii.3.2; M0_iv.3.2,Yes,,,,,,,,,,,,X,,X,X,,,,,
M0_ii.3.3; M0_iv.3.3,Yes,,,,,,,,,,,,X,,X,X,,,,,
G0_iii.3.2,Yes,,,,,,,,,,,,,,,,,,X,,X
G0_iv.3.3,Yes,,,,,,,,,,,,,,,,,,,X,X
GS.4.1,No,X,X,X,P,X,X,P,P,P,X,,,,,,,,,,
GS.4.2,No,X,X,X,P,X,,P,P,P,X,,,,,,,,,,
GS.4.3,No,X,X,X,P,X,P,P,P,P,X,,,,,,,,,,
GS.4.4,No,X,,,,X,X,,P,P,X,,,,,,,,,,
GS.4.5,No,X,X,X,P,X,X,,P,P,X,,,,,,,,,,
GS.4.6,No,,,,,,,X,,X,X,,,,,,,,,,
GS.4.7,No,P,P,P,P,X,X,X,X,X,X,X,X,X,X,X,,X,X,P,X
GS.4.8,No,P,,,,X,P,P,P,P,X,,,,,,P,P,,,X
GS.4.9,No,X,,,,X,,,,,,,,,,,,,,,
GS.4.10,No,X,,,,X,,,,,,X,X,X,X,X,,,,,
GS.4.11,No,X,,,,X,,,,,,X,X,X,X,X,,,,,
GS.4.12,No,X,,,,X,,,,,,X,X,X,X,X,,,,,
GS.4.14,No,,,,,,,,,,,,,,,,,,,,
GS.4.15,No,,,,,,X,X,X,X,X,,,,,,,,,,
GS.4.16,No,,,,,,X,X,X,X,X,,,,,,,,,,
GS.4.17,No,,,,,,X,X,X,X,X,,,,,,,,,,
GS.4.18,No,,,,,,,,,X,X,,,X,,X,,,,,
GS.4.19,No,,,,,,,,,,,,,,,,X,,X,X,X
GS.4.20,No,,,,,,,,,,,,,,,,,,,,
GS.4.21,No,,,,,,,,,,,,,,,,,,,,
Q0.4.2,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.4.7,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.4.11,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.4.12,Yes,,,,,,X,,,,,,,,,,,,,,
Q0_ii.4.2,Yes,,,,,,,X,,,X,,,,,,,,,,
Q0_iii.4.3,Yes,,,,,,,,X,,X,,,,,,,,,,
Q0_iii.4.4,Yes,,,,,,,,X,,X,,,,,,,,,,
Q0_iv.4.4,Yes,,,,,,,,,X,X,,,,,,,,,,
G0.4.1,Yes,,,,,,,,,,,,,,,,,,,,
G0.4.2,Yes,,,,,,,,,,,,,,,,,,,,
G0_iv.4.2,Yes,,,,,,,,,,,,,,,,,,,,
GS.5.1,No,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
GS.5.2,No,P,P,P,P,X,X,X,X,X,X,,,,,,X,X,X,X,X
GS.5.3,No,X,X,X,X,X,,,,,,,,,,,,,,,
GS.5.4,No,,,,,,,,,,,,,,,,,,,,
GS.5.5,No,,,,,,,,,,,X,,,X,X,,,,,
GS.5.6,No,,,,,,,X,X,,X,,,,,,,,X,,X
L0.5.4; L0_iv.5.3,Yes,X,,,X,X,,,,,,,,,,,,,,,
M0.5.3; M0_iii.5.3,Yes,,,,,,,,,,,X,,X,,X,,,,,
GS.6.1,No,X,X,P,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
GS.6.2,No,X,,,,X,,,,,,,,,,,,,,,
GS.6.3,No,,,,,,,,,,,X,,,,X,,,,,
GS.6.4,No,,,,,,,,,,,,,,,,X,,X,,X
L0_ii.6.2,Yes,,X,,,X,,,,,,,,,,,,,,,
G0.6.3,Yes,,,,,,,,,,,,,,,,X,,,,X
GS.7.1,No,X,X,X,X,X,P,P,P,P,X,P,P,P,P,X,X,X,X,X,X
GS.7.2,No,,X,X,X,X,,,,,,P,,,P,X,X,X,X,X,X
GS.7.3,No,,,X,X,X,X,X,X,X,X,,,,,,X,,X,X,X
GS.7.4,No,X,,,X,X,,,,,,,,,,,,,,,
GS.7.5,No,X,,,,X,,,,,,X,X,,,X,,,,,
GS.7.6,No,X,,X,X,X,,,,,,,,,,,,,,,
GS.7.7,No,,,,,,,,,,,,,,,,,,,,
GS.7.8,No,,,,,,,,,,,,,,,,,,,,
GS.7.9,No,,,X,,X,,,,,,,,,,,,,,,
GS.7.10,No,,,,,,,,,,,,,,,,,,,,
GS.7.11,No,,,,,,,,,,,,,,,,,,,,
L0_ii.7.2,Yes,,X,,,X,,,,,,,,,,,,,,,
L0_iii.7.2,Yes,,,X,,X,,,,,,,,,,,,,,,
L0_iii.7.5,Yes,,,X,,X,,,,,,,,,,,,,,,
L0_iii.7.8; Q0_iii.7.4,Yes,,,X,,X,,,X,,X,,,,,,,,,,
Q0_iii.7.2,Yes,,,,,,,,X,,X,,,,,,,,,,
GS.8.1,No,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
GS.8.2,No,X,X,X,X,X,,,,,,,,,,,,,,,
GS.8.3,No,,,,,,,,,,,,,,,,,,,,
L0_iii.8.5,Yes,,,X,,X,,,,,,,,,,,,,,,
M0_ii.8.2; M0_iii.8.1,Yes,,,,,,,,,,,,X,X,,X,,,,,
M0_ii.8.3,Yes,,,,,,,,,,,,X,,,X,,,,,
M0_ii.8.4,Yes,,,,,,,,,,,,X,,,X,,,,,
M0_ii.8.5,Yes,,,,,,,,,,,,X,,,X,,,,,
M0_iii.8.3,Yes,,,,,,,,,,,,,X,,X,,,,,
M0_iv.8.1,Yes,,,,,,,,,,,,,,X,X,,,,,
M0_iv.8.2,Yes,,,,,,,,,,,,,,X,X,,,,,
GS.9.1,No,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X
GS.9.2,No,X,X,X,X,X,X,,,,X,P,,,,X,,,,,
GS.9.3,No,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
GS.9.4,No,X,X,X,X,X,,,,,,,,,,,,,,,
GS.9.5,No,,,,,,,,,,,,,,,,,,,,
GS.9.6,No,,,,,,,,,,,,,,,,X,X,,,X
GS.9.7,No,,,,,,,,,,,,,,,,,,,,
GS.9.8,No,,X,X,,X,,,,,,,,,,,X,,,,X
Q0.9.4,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0_ii.9.4,Yes,,,,,,,X,,,X,,,,,,,,,,
GS.10.1,No,,,,,,,X,X,X,X,X,X,X,X,X,,X,,X,X
GS.10.2,No,X,P,X,X,X,,,,,,X,X,X,,X,P,P,P,P,X
GS.10.3,No,X,,,X,X,X,,,,X,P,P,,,X,X,,,X,X
GS.10.4,No,X,,,,X,,,,,,,,,,,,,,,
GS.10.5,No,,X,X,X,X,,,,,,,,,,,X,X,X,X,X
GS.10.6,No,,,X,,X,,,,,,X,,,,X,,,,,
GS.10.7,No,,,,,,,,,,,,,,,,,,,,
GS.10.8,No,,,,,,,,,,,,,,,,,,,,
GS.10.9,No,,,,,,,,,,,X,,,,X,,,,,
GS.10.10,No,,,,,,,,,,,X,,,,X,,,,,
GS.10.11,No,X,X,X,X,X,,,,,,,,,,,,,,,
Q0.10.2,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.3,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.4,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.5,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.6,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.7,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0_ii.10.4; Q0_iii.10.3,Yes,,,,,,,X,X,,X,,,,,,,,,,
Q0_iii.10.2,Yes,,,,,,,,X,,X,,,,,,,,,,
G0.10.1,Yes,,,,,,,,,,,,,,,,X,,,,X
